date,A,AA,AA.PB,AAC,AAN,AAP,AAT,AAV,AB,ABB
2016-03-14,38.708993,28.841797,30.984174,18.01,23.732426,159.151615,37.571675,5.47,21.388995,17.772225
2016-03-15,37.984812,27.320667,29.489076,17.040001,23.323246,158.392519,37.374033,5.33,20.983791,17.628126
2016-03-16,38.669311,29.050578,31.131091,16.99,23.692505,158.832173,37.739669,5.46,21.736314,18.166096
2016-03-17,38.976842,29.6471,31.534395,17.9,23.792305,157.812989,38.263422,5.62,22.286233,18.656033
2016-03-18,39.869666,29.915535,31.870479,19.879999,24.271344,157.343366,37.878021,5.45,22.546722,18.684854
2016-03-21,39.333973,29.49797,31.620818,20.25,24.570745,158.482449,37.265329,5.4,22.064336,18.483114
2016-03-22,39.562139,29.378665,31.543996,19.17,24.291305,158.062788,37.621085,5.36,21.929267,18.483114
2016-03-23,39.155407,27.797884,30.334091,18.209999,23.961965,160.96045,37.324623,5.15,21.466177,18.339015
2016-03-24,39.115725,28.543535,30.987057,18.379999,23.822246,161.689874,37.808843,5.13,21.485473,18.18531
2016-03-28,39.205008,28.931275,31.303935,18.43,24.371145,161.629909,38.006485,5.18,21.736314,18.233342
2016-03-29,39.839906,28.990927,31.486384,18.389999,24.301285,162.898892,38.935404,5.23,21.900325,18.415868
2016-03-30,39.800224,28.871623,31.592011,19.610001,24.999883,163.658276,39.103397,5.49,21.639836,18.809739
2016-03-31,39.532376,28.573362,31.678433,19.790001,25.049785,160.211053,39.449269,5.49,22.604608,18.656033
2016-04-01,40.104446,28.722492,31.457574,20.370001,25.299284,160.290991,39.093517,5.19,23.530788,18.511934
2016-04-04,39.805973,28.036494,30.939046,20.110001,25.947984,159.101945,39.271395,5.09,23.279947,18.627213
2016-04-05,39.059798,28.066318,31.08308,18.469999,25.329223,160.340954,38.470945,5.12,23.164176,18.339015
2016-04-06,40.034804,28.334753,31.380757,18.57,25.888104,159.751432,38.243657,5.21,23.164176,18.444688
2016-04-07,39.26873,28.275102,31.351951,19.02,25.768343,155.704686,37.937311,5.14,22.537074,18.233342
2016-04-08,39.338372,27.947015,31.255924,18.690001,26.287304,155.984459,38.194247,5.23,22.730027,18.608001
2016-04-11,39.209034,29.050578,32.264179,18.25,26.027823,154.64554,38.07566,5.31,22.980868,18.627213
2016-04-12,39.547301,28.275102,31.726445,18.440001,26.077723,156.374145,38.095424,5.55,22.845801,18.934624
2016-04-13,40.482506,29.19971,33.003567,19.530001,27.415042,160.360942,37.848372,5.43,22.961573,19.001872
2016-04-14,40.572047,29.855883,33.59892,19.870001,26.926023,160.810577,37.927431,5.27,22.894039,19.069118
2016-04-15,40.701385,29.855883,33.243628,19.299999,27.015843,161.060376,38.095424,5.16,22.845801,19.011478
2016-04-18,41.099347,30.094491,33.790966,19.02,26.886104,160.810577,38.302947,5.3,22.604608,19.203609
2016-04-19,41.188888,31.406837,34.78962,19.549999,26.586703,160.660688,38.095424,5.45,23.202766,19.462988
2016-04-20,41.308275,31.585794,35.18332,20.559999,26.486904,158.262624,37.561791,5.49,23.559732,20.058597
2016-04-21,41.716184,31.078751,34.770415,20.110001,26.147584,157.003643,37.196155,5.45,23.270301,19.876073
2016-04-22,41.586846,31.019099,34.770415,20.629999,26.486904,158.272611,37.453091,5.52,23.472902,19.962532
2016-04-25,41.417715,30.303273,34.184666,19.959999,25.938003,157.263429,37.710024,5.41,23.540436,19.780006
